日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601318,74.24,74.46,75.13,74.22,778252,6712531712.0,1.23,0.89,0.66,0.72
2020-01-03,601318,75.15,74.54,75.22,74.24,594980,5137312000.0,1.32,0.11,0.08,0.55
2020-01-06,601318,74.26,73.94,75.21,73.84,636448,5487967744.0,1.84,-0.8,-0.6,0.59
2020-01-07,601318,74.35,74.49,74.8,74.01,452188,3886450096.0,1.07,0.74,0.55,0.42
2020-01-08,601318,74.32,73.34,74.32,72.84,628053,5347387392.0,1.99,-1.54,-1.15,0.58
2020-01-09,601318,73.92,73.38,73.95,73.03,598712,5090240000.0,1.25,0.05,0.04,0.55
2020-01-10,601318,73.69,73.12,73.73,72.95,525865,4460689408.0,1.06,-0.35,-0.26,0.49
2020-01-13,601318,73.35,74.79,74.81,73.12,810589,6944781568.0,2.31,2.28,1.67,0.75
2020-01-14,601318,75.54,75.17,76.16,75.02,716682,6246205952.0,1.52,0.51,0.38,0.66
2020-01-15,601318,75.15,74.15,75.46,74.02,526217,4530511104.0,1.92,-1.36,-1.02,0.49
2020-01-16,601318,74.65,73.89,74.71,73.89,498579,4283072144.0,1.11,-0.35,-0.26,0.46
2020-01-17,601318,74.49,74.59,75.24,74.19,555370,4786520320.0,1.42,0.95,0.7,0.51
2020-01-20,601318,76.64,75.94,77.04,75.69,936051,8248578816.0,1.81,1.81,1.35,0.86
2020-01-21,601318,75.34,73.94,75.63,73.94,727579,6273908480.0,2.23,-2.63,-2.0,0.67
2020-01-22,601318,73.34,73.56,73.82,72.17,736577,6235780096.0,2.23,-0.51,-0.38,0.68
2020-01-23,601318,72.35,71.83,72.9,70.82,1080021,9019354112.0,2.83,-2.35,-1.73,1.0
2020-02-03,601318,64.85,66.05,67.59,64.74,2031499,15779335424.0,3.97,-8.05,-5.78,1.88
2020-02-04,601318,66.64,68.77,69.31,66.54,1213481,9661568256.0,4.19,4.12,2.72,1.12
2020-02-05,601318,68.9,68.72,69.67,68.1,753197,6062969600.0,2.28,-0.07,-0.05,0.7
2020-02-06,601318,69.52,69.86,70.31,68.72,672190,5451123712.0,2.31,1.66,1.14,0.62
2020-02-07,601318,68.94,69.37,69.54,68.76,491631,3968082288.0,1.12,-0.7,-0.49,0.45
2020-02-10,601318,68.69,68.64,68.98,68.24,593604,4759660544.0,1.07,-1.05,-0.73,0.55
2020-02-11,601318,69.23,69.47,70.2,68.84,584322,4748597504.0,1.98,1.21,0.83,0.54
