日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601398,4.49,4.54,4.6,4.48,2349494,1404442752.0,2.7,2.02,0.09,0.09
2020-01-03,601398,4.54,4.56,4.59,4.53,1522130,911951568.0,1.32,0.44,0.02,0.06
2020-01-06,601398,4.53,4.54,4.62,4.52,2265097,1359917424.0,2.19,-0.44,-0.02,0.08
2020-01-07,601398,4.55,4.58,4.61,4.55,1168044,701615824.0,1.32,0.88,0.04,0.04
2020-01-08,601398,4.53,4.48,4.54,4.47,1585591,940552720.0,1.53,-2.18,-0.1,0.06
2020-01-09,601398,4.52,4.48,4.53,4.45,1377134,813806688.0,1.79,0.0,0.0,0.05
2020-01-10,601398,4.48,4.48,4.5,4.43,978378,576580176.0,1.56,0.0,0.0,0.04
2020-01-13,601398,4.47,4.5,4.5,4.44,1089910,642791840.0,1.34,0.45,0.02,0.04
2020-01-14,601398,4.49,4.51,4.53,4.48,1367701,812389856.0,1.11,0.22,0.01,0.05
2020-01-15,601398,4.5,4.45,4.51,4.44,1288908,759512880.0,1.55,-1.33,-0.06,0.05
2020-01-16,601398,4.44,4.37,4.46,4.36,2690313,1572007904.0,2.25,-1.8,-0.08,0.1
2020-01-17,601398,4.38,4.39,4.41,4.37,1039490,605076656.0,0.92,0.46,0.02,0.04
2020-01-20,601398,4.38,4.41,4.43,4.37,1033400,602786608.0,1.37,0.46,0.02,0.04
2020-01-21,601398,4.39,4.34,4.4,4.33,1432237,828268480.0,1.59,-1.59,-0.07,0.05
2020-01-22,601398,4.33,4.36,4.36,4.28,1283708,738870048.0,1.84,0.46,0.02,0.05
2020-01-23,601398,4.33,4.29,4.35,4.27,2000377,1146238544.0,1.83,-1.61,-0.07,0.07
2020-02-03,601398,3.87,3.99,4.15,3.87,4680399,2524272176.0,6.53,-6.99,-0.3,0.17
2020-02-04,601398,3.96,4.07,4.1,3.93,4013853,2178867248.0,4.26,2.01,0.08,0.15
2020-02-05,601398,4.06,4.06,4.09,3.99,2508538,1374458720.0,2.46,-0.25,-0.01,0.09
2020-02-06,601398,4.07,4.07,4.1,4.01,2809954,1538957664.0,2.22,0.25,0.01,0.1
2020-02-07,601398,4.04,4.01,4.04,3.97,2373190,1288428160.0,1.72,-1.47,-0.06,0.09
2020-02-10,601398,3.98,3.99,4.0,3.95,1902386,1027646560.0,1.25,-0.5,-0.02,0.07
2020-02-11,601398,4.0,4.03,4.04,3.98,1984985,1081002720.0,1.5,1.0,0.04,0.07
2020-02-12,601398,4.03,4.03,4.04,3.99,2039144,1109148704.0,1.24,0.0,0.0,0.08
2020-02-13,601398,4.02,3.98,4.02,3.97,1995658,1082005696.0,1.24,-1.24,-0.05,0.07
2020-02-14,601398,3.97,4.0,4.01,3.96,1415764,767126656.0,1.26,0.5,0.02,0.05
2020-02-17,601398,3.99,4.06,4.06,3.98,2141949,1169117312.0,2.0,1.5,0.06,0.08
2020-02-18,601398,4.04,4.03,4.05,4.01,1845424,1007061200.0,0.99,-0.74,-0.03,0.07
2020-02-19,601398,4.02,4.05,4.07,4.02,2040524,1115986864.0,1.24,0.5,0.02,0.08
2020-02-20,601398,4.05,4.08,4.09,4.01,2836681,1552477584.0,1.98,0.74,0.03,0.11
2020-02-21,601398,4.06,4.06,4.09,4.04,2237103,1228187056.0,1.23,-0.49,-0.02,0.08
2020-02-24,601398,4.05,4.01,4.06,4.0,1933292,1053685888.0,1.48,-1.23,-0.05,0.07
2020-02-25,601398,3.97,3.98,3.99,3.96,2301333,1243466240.0,0.75,-0.75,-0.03,0.09
2020-02-26,601398,3.95,3.98,4.01,3.93,2579688,1393315552.0,2.01,0.0,0.0,0.1
2020-02-27,601398,3.97,3.97,3.99,3.96,2225556,1202215360.0,0.75,-0.25,-0.01,0.08
2020-02-28,601398,3.94,3.87,3.95,3.85,4229372,2256218768.0,2.52,-2.52,-0.1,0.16
2020-03-02,601398,3.87,3.93,3.93,3.86,2399023,1279829488.0,1.81,1.55,0.06,0.09
2020-03-03,601398,3.94,3.95,3.97,3.92,2554032,1374004544.0,1.27,0.51,0.02,0.09
2020-03-04,601398,3.94,3.96,3.96,3.93,1342816,721906816.0,0.76,0.25,0.01,0.05
2020-03-05,601398,3.97,4.03,4.03,3.95,3305398,1794965696.0,2.02,1.77,0.07,0.12
2020-03-06,601398,3.99,3.98,4.0,3.96,1959499,1059304464.0,0.99,-1.24,-0.05,0.07
2020-03-09,601398,3.91,3.88,3.92,3.87,2880620,1532677424.0,1.26,-2.51,-0.1,0.11
2020-03-10,601398,3.86,3.93,3.94,3.86,2508208,1336201312.0,2.06,1.29,0.05,0.09
2020-03-11,601398,3.92,3.89,3.94,3.89,1694070,904475648.0,1.27,-1.02,-0.04,0.06
2020-03-12,601398,3.87,3.86,3.89,3.84,2462965,1303003584.0,1.29,-0.77,-0.03,0.09
2020-03-13,601398,3.73,3.79,3.84,3.7,2997241,1553653696.0,3.63,-1.81,-0.07,0.11
2020-03-16,601398,3.79,3.74,3.86,3.71,3044663,1586443696.0,3.96,-1.32,-0.05,0.11
2020-03-17,601398,3.73,3.74,3.8,3.69,2577129,1329255600.0,2.94,0.0,0.0,0.1
2020-03-18,601398,3.75,3.68,3.77,3.68,2025068,1045181424.0,2.41,-1.6,-0.06,0.08
2020-03-19,601398,3.68,3.56,3.69,3.5,2898850,1452206736.0,5.16,-3.26,-0.12,0.11
2020-03-20,601398,3.59,3.65,3.68,3.57,2125136,1073508064.0,3.09,2.53,0.09,0.08
2020-03-23,601398,3.57,3.56,3.6,3.55,1399893,699169088.0,1.37,-2.47,-0.09,0.05
2020-03-24,601398,3.59,3.69,3.69,3.59,2303316,1166514208.0,2.81,3.65,0.13,0.09
2020-03-25,601398,3.74,3.75,3.75,3.67,2321786,1195478384.0,2.17,1.63,0.06,0.09
2020-03-26,601398,3.7,3.75,3.79,3.68,1556128,805142976.0,2.93,0.0,0.0,0.06
2020-03-27,601398,3.78,3.78,3.82,3.75,1727365,901046976.0,1.87,0.8,0.03,0.06
2020-03-30,601398,3.75,3.79,3.81,3.72,1953885,1016609264.0,2.38,0.26,0.01,0.07
2020-03-31,601398,3.79,3.72,3.81,3.69,1761032,912323376.0,3.17,-1.85,-0.07,0.07
2020-04-01,601398,3.72,3.73,3.76,3.7,1018584,525623744.0,1.61,0.27,0.01,0.04
2020-04-02,601398,3.71,3.76,3.76,3.68,1228856,632366528.0,2.14,0.8,0.03,0.05
2020-04-03,601398,3.73,3.71,3.75,3.69,1096046,564119680.0,1.6,-1.33,-0.05,0.04
2020-04-07,601398,3.75,3.73,3.76,3.7,1703016,878022928.0,1.62,0.54,0.02,0.06
2020-04-08,601398,3.71,3.71,3.72,3.69,1034743,531023696.0,0.8,-0.54,-0.02,0.04
2020-04-09,601398,3.71,3.7,3.72,3.69,735821,377790160.0,0.81,-0.27,-0.01,0.03
