日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600276,60.26,60.04,60.33,59.47,210810,1843430816.0,1.44,0.18,0.11,0.48
2020-01-03,600276,60.28,58.84,60.4,58.67,218178,1888231584.0,2.88,-2.0,-1.2,0.5
2020-01-06,600276,58.56,57.55,58.67,57.17,297348,2508527264.0,2.55,-2.19,-1.29,0.68
2020-01-07,600276,57.56,58.09,58.48,57.26,189409,1603978432.0,2.12,0.94,0.54,0.43
2020-01-08,600276,57.51,57.96,58.07,57.49,123042,1038810512.0,1.0,-0.22,-0.13,0.28
2020-01-09,600276,58.18,59.49,59.71,58.16,260172,2246442624.0,2.67,2.64,1.53,0.59
2020-01-10,600276,59.85,59.92,60.61,59.64,232567,2041426816.0,1.63,0.72,0.43,0.53
2020-01-13,600276,60.53,60.15,60.6,59.22,215037,1878457184.0,2.3,0.38,0.23,0.49
2020-01-14,600276,60.13,59.23,60.13,58.93,214681,1864841424.0,2.0,-1.53,-0.92,0.49
2020-01-15,600276,59.33,59.52,60.23,58.92,164961,1436762672.0,2.21,0.49,0.29,0.37
2020-01-16,600276,60.01,59.18,60.09,58.6,207124,1785398544.0,2.5,-0.57,-0.34,0.47
2020-01-17,600276,59.22,62.11,62.13,59.22,526241,4707819776.0,4.92,4.95,2.93,1.19
2020-01-20,600276,63.58,61.72,64.07,61.01,293527,2653002816.0,4.93,-0.63,-0.39,0.67
2020-01-21,600276,61.72,61.91,63.04,61.56,199509,1809663664.0,2.4,0.31,0.19,0.45
2020-01-22,600276,61.9,61.88,62.47,61.31,162262,1464485312.0,1.87,-0.05,-0.03,0.37
2020-01-23,600276,61.67,60.26,62.07,59.71,237016,2099350016.0,3.81,-2.62,-1.62,0.54
2020-02-03,600276,55.11,58.5,59.49,54.99,410420,3455638208.0,7.47,-2.92,-1.76,0.93
2020-02-04,600276,58.49,59.4,60.32,57.11,324331,2781000928.0,5.49,1.54,0.9,0.73
2020-02-05,600276,59.57,60.9,60.94,59.08,296758,2594153248.0,3.13,2.53,1.5,0.67
2020-02-06,600276,61.27,61.72,62.63,60.47,308325,2772379776.0,3.55,1.35,0.82,0.7
2020-02-07,600276,62.0,61.41,62.07,60.15,224677,2000843760.0,3.11,-0.5,-0.31,0.51
2020-02-10,600276,60.75,60.61,60.89,59.78,165484,1459245760.0,1.81,-1.3,-0.8,0.37
2020-02-11,600276,60.96,61.76,62.27,60.62,229187,2068042640.0,2.72,1.9,1.15,0.52
2020-02-12,600276,62.01,63.71,63.71,61.86,249630,2304729552.0,3.0,3.16,1.95,0.57
2020-02-13,600276,63.88,62.66,64.18,62.53,185216,1705612848.0,2.59,-1.65,-1.05,0.42
2020-02-14,600276,62.8,62.73,63.35,62.35,150103,1377251104.0,1.6,0.11,0.07,0.34
2020-02-17,600276,62.73,63.31,63.59,62.38,162570,1497322208.0,1.93,0.92,0.58,0.37
2020-02-18,600276,63.31,62.07,64.12,61.82,227545,2074194352.0,3.63,-1.96,-1.24,0.52
2020-02-19,600276,61.92,61.43,62.28,61.23,168513,1515228288.0,1.69,-1.03,-0.64,0.38
2020-02-20,600276,61.78,62.21,62.4,61.13,160276,1451548144.0,2.07,1.27,0.78,0.36
2020-02-21,600276,61.87,61.79,62.14,61.57,193347,1743549904.0,0.92,-0.68,-0.42,0.44
2020-02-24,600276,61.63,60.53,61.69,59.95,279508,2473859360.0,2.82,-2.04,-1.26,0.63
2020-02-25,600276,59.83,60.48,61.65,59.71,231844,2056139168.0,3.21,-0.08,-0.05,0.53
2020-02-26,600276,60.2,59.35,60.26,59.22,229985,2000880352.0,1.72,-1.87,-1.13,0.52
2020-02-27,600276,59.57,59.72,60.26,59.08,190022,1655869344.0,1.99,0.62,0.37,0.43
2020-02-28,600276,58.88,57.55,59.28,57.25,269597,2290273504.0,3.4,-3.63,-2.17,0.61
2020-03-02,600276,58.22,58.32,59.16,56.88,269892,2293961248.0,3.96,1.34,0.77,0.61
2020-03-03,600276,59.06,60.5,61.13,59.06,292430,2585791392.0,3.55,3.74,2.18,0.66
2020-03-04,600276,60.26,60.13,60.34,59.15,150531,1316422944.0,1.97,-0.61,-0.37,0.34
2020-03-05,600276,61.38,62.83,63.39,60.97,441926,4032311152.0,4.02,4.49,2.7,1.0
2020-03-06,600276,63.04,63.22,64.29,62.83,312583,2902987360.0,2.32,0.62,0.39,0.71
2020-03-09,600276,61.69,60.88,62.56,60.81,328202,2951425664.0,2.77,-3.7,-2.34,0.74
2020-03-10,600276,61.13,62.07,62.76,60.37,262845,2370345104.0,3.93,1.95,1.19,0.6
2020-03-11,600276,62.9,60.98,62.9,60.83,160102,1436872960.0,3.33,-1.76,-1.09,0.36
2020-03-12,600276,59.92,59.14,60.96,58.88,250775,2177872624.0,3.41,-3.02,-1.84,0.57
2020-03-13,600276,56.24,57.97,58.88,56.1,349671,2922931312.0,4.7,-1.98,-1.17,0.79
2020-03-16,600276,58.18,56.13,58.67,55.79,289941,2414261472.0,4.97,-3.17,-1.84,0.66
2020-03-17,600276,56.13,55.47,57.46,54.07,272935,2216055120.0,6.04,-1.18,-0.66,0.62
2020-03-18,600276,55.54,55.13,57.67,54.91,283897,2335986720.0,4.98,-0.61,-0.34,0.64
2020-03-19,600276,55.06,54.01,55.96,52.75,322311,2538661504.0,5.82,-2.03,-1.12,0.73
2020-03-20,600276,54.7,54.82,55.4,53.78,248832,1986863664.0,3.0,1.5,0.81,0.56
2020-03-23,600276,54.71,56.31,57.13,54.23,415208,3397352304.0,5.29,2.72,1.49,0.94
2020-03-24,600276,56.82,58.64,58.88,56.71,319005,2710737792.0,3.85,4.14,2.33,0.72
2020-03-25,600276,60.37,60.94,61.64,59.3,318446,2820988080.0,3.99,3.92,2.3,0.72
2020-03-26,600276,60.89,61.85,62.7,60.37,317704,2877001104.0,3.82,1.49,0.91,0.72
2020-03-27,600276,62.38,62.27,63.91,61.71,284699,2609107616.0,3.56,0.68,0.42,0.65
2020-03-30,600276,61.65,62.14,63.35,60.74,256846,2322353840.0,4.19,-0.21,-0.13,0.58
2020-03-31,600276,62.47,63.06,63.17,61.65,263045,2400236992.0,2.45,1.48,0.92,0.6
2020-04-01,600276,62.61,61.65,62.69,61.1,193045,1744533552.0,2.52,-2.24,-1.41,0.44
2020-04-02,600276,61.69,62.94,63.04,61.39,181389,1648761216.0,2.68,2.09,1.29,0.41
2020-04-03,600276,62.9,64.24,65.13,62.72,292103,2735078000.0,3.83,2.07,1.3,0.66
2020-04-07,600276,64.78,65.47,65.81,64.14,237684,2257928672.0,2.6,1.91,1.23,0.54
2020-04-08,600276,65.06,64.97,66.17,64.59,161199,1536416736.0,2.41,-0.76,-0.5,0.37
2020-04-09,600276,64.98,66.37,67.07,64.74,177081,1710399984.0,3.59,2.15,1.4,0.4
2020-04-10,600276,66.36,65.97,68.38,65.75,171076,1670871616.0,3.96,-0.6,-0.4,0.39
2020-04-13,600276,66.5,66.29,66.77,65.32,93329,900406336.0,2.2,0.49,0.32,0.21
2020-04-14,600276,67.01,67.55,67.58,65.88,193455,1889381728.0,2.56,1.9,1.26,0.44
2020-04-15,600276,67.56,66.81,68.29,66.43,144663,1415306448.0,2.75,-1.1,-0.74,0.33
2020-04-16,600276,65.94,66.8,67.15,65.49,139843,1358631632.0,2.48,-0.01,-0.01,0.32
2020-04-17,600276,66.9,66.24,67.35,66.07,147495,1432127408.0,1.92,-0.84,-0.56,0.33
2020-04-20,600276,66.24,66.31,66.86,65.83,128542,1242369648.0,1.55,0.11,0.07,0.29
2020-04-21,600276,66.51,65.33,66.53,64.6,183203,1741681264.0,2.91,-1.48,-0.98,0.42
2020-04-22,600276,65.33,66.86,66.86,64.51,177450,1708014976.0,3.6,2.34,1.53,0.4
2020-04-23,600276,67.21,65.85,67.74,65.13,193766,1870197552.0,3.9,-1.51,-1.01,0.44
2020-04-24,600276,65.81,65.32,65.81,64.78,108507,1032161872.0,1.56,-0.8,-0.53,0.25
2020-04-27,600276,65.75,66.06,66.72,64.63,183860,1769049088.0,3.2,1.13,0.74,0.42
2020-04-28,600276,66.1,65.85,66.51,65.16,221292,2124684720.0,2.04,-0.32,-0.21,0.5
2020-04-29,600276,65.51,64.01,65.82,62.8,241030,2258366960.0,4.59,-2.79,-1.84,0.55
2020-04-30,600276,64.01,63.74,64.85,63.35,196497,1838839152.0,2.34,-0.42,-0.27,0.45
2020-05-06,600276,63.4,66.11,66.11,63.11,260014,2455778608.0,4.71,3.72,2.37,0.59
2020-05-07,600276,66.2,66.24,66.74,65.54,124586,1201384784.0,1.82,0.2,0.13,0.28
2020-05-08,600276,66.49,66.55,67.69,66.12,167321,1633145984.0,2.37,0.47,0.31,0.38
2020-05-11,600276,66.31,64.21,66.36,64.01,329390,3102541440.0,3.53,-3.52,-2.34,0.75
2020-05-12,600276,64.21,65.43,65.49,64.1,182856,1732154240.0,2.16,1.9,1.22,0.41
2020-05-13,600276,65.43,65.61,66.51,64.5,224920,2144887792.0,3.07,0.28,0.18,0.51
2020-05-14,600276,65.45,66.65,67.21,64.92,222617,2155706448.0,3.49,1.59,1.04,0.5
2020-05-15,600276,67.07,65.01,67.31,64.79,253661,2426297760.0,3.78,-2.46,-1.64,0.57
2020-05-18,600276,65.09,66.65,67.35,64.5,301163,2909787600.0,4.38,2.52,1.64,0.68
2020-05-19,600276,67.9,67.17,68.58,66.73,185348,1822548176.0,2.78,0.78,0.52,0.42
2020-05-20,600276,67.57,67.14,68.58,66.62,193246,1903175328.0,2.92,-0.04,-0.03,0.44
2020-05-21,600276,67.42,68.42,69.29,67.23,270699,2696444112.0,3.07,1.91,1.28,0.61
2020-05-22,600276,68.44,65.74,68.51,65.39,284478,2753874336.0,4.56,-3.92,-2.68,0.64
2020-05-25,600276,66.48,66.77,67.42,66.02,199368,1612062896.0,2.13,1.57,1.03,0.38
2020-05-26,600276,66.52,67.23,67.56,66.2,211371,1715356624.0,2.04,0.69,0.46,0.4
2020-05-27,600276,66.92,65.87,66.92,64.65,311442,2473825776.0,3.38,-2.02,-1.36,0.59
2020-05-28,600276,65.74,64.73,65.92,63.75,231917,1821259568.0,3.29,-1.73,-1.14,0.44
2020-05-29,600276,64.4,64.9,65.44,64.15,173190,1364918176.0,1.99,0.26,0.17,0.33
2020-06-01,600276,65.81,66.16,66.65,65.64,261484,2101270416.0,1.56,1.94,1.26,0.49
2020-06-02,600276,66.2,66.31,66.48,65.59,176093,1410531584.0,1.35,0.23,0.15,0.33
2020-06-03,600276,66.53,66.12,66.64,65.9,209538,1681758208.0,1.12,-0.29,-0.19,0.4
2020-06-04,600276,66.46,66.98,67.03,65.9,209798,1692441920.0,1.71,1.3,0.86,0.4
2020-06-05,600276,66.98,67.9,67.91,66.33,185789,1515416336.0,2.36,1.37,0.92,0.35
2020-06-08,600276,68.08,66.23,68.22,65.71,330383,2666552976.0,3.7,-2.46,-1.67,0.62
2020-06-09,600276,66.23,68.45,68.48,66.23,352700,2896055344.0,3.4,3.35,2.22,0.67
2020-06-10,600276,68.49,69.76,70.56,68.1,319125,2688996816.0,3.59,1.91,1.31,0.6
2020-06-11,600276,69.6,69.7,70.45,68.96,221179,1868953184.0,2.14,-0.09,-0.06,0.42
2020-06-12,600276,68.57,70.85,70.85,68.57,233958,1985846000.0,3.27,1.65,1.15,0.44
2020-06-15,600276,70.23,69.51,71.48,69.38,254782,2163193920.0,2.96,-1.89,-1.34,0.48
2020-06-16,600276,70.23,71.93,72.32,69.8,274286,2370702144.0,3.63,3.48,2.42,0.52
2020-06-17,600276,72.06,74.02,74.35,71.94,331274,2947855888.0,3.35,2.91,2.09,0.63
2020-06-18,600276,73.98,73.73,74.28,72.3,214876,1906117600.0,2.67,-0.39,-0.29,0.41
2020-06-19,600276,73.9,76.8,77.08,73.73,334485,3084702032.0,4.54,4.16,3.07,0.63
2020-06-22,600276,76.73,77.0,78.82,76.15,292778,2742046496.0,3.48,0.26,0.2,0.55
2020-06-23,600276,76.2,78.06,78.06,75.98,254531,2382353712.0,2.7,1.38,1.06,0.48
2020-06-24,600276,77.65,76.77,77.98,76.0,310913,2883479440.0,2.54,-1.65,-1.29,0.59
2020-06-29,600276,76.31,76.17,77.18,75.48,271306,2496861136.0,2.21,-0.78,-0.6,0.51
2020-06-30,600276,76.71,76.23,77.31,75.77,257669,2381145840.0,2.02,0.08,0.06,0.49
2020-07-01,600276,76.31,75.19,76.45,73.74,420680,3806871760.0,3.56,-1.36,-1.04,0.79
2020-07-02,600276,75.13,75.31,75.77,74.31,345271,3133501056.0,1.94,0.16,0.12,0.65
2020-07-03,600276,75.41,75.88,75.98,74.73,299107,2732248768.0,1.66,0.76,0.57,0.56
2020-07-06,600276,75.98,76.92,77.15,75.27,496528,4586141696.0,2.48,1.37,1.04,0.94
2020-07-07,600276,77.2,80.39,81.16,76.77,474944,4572860928.0,5.71,4.51,3.47,0.9
2020-07-08,600276,80.95,80.2,82.45,79.36,358710,3498289568.0,3.84,-0.24,-0.19,0.68
2020-07-09,600276,80.23,81.4,82.0,79.82,282675,2775336384.0,2.72,1.5,1.2,0.53
2020-07-10,600276,81.48,82.1,82.99,81.02,293976,2930401056.0,2.42,0.86,0.7,0.56
2020-07-13,600276,82.3,82.5,83.38,81.85,323715,3235758048.0,1.86,0.49,0.4,0.61
2020-07-14,600276,82.48,81.34,82.48,80.15,332263,3260726000.0,2.82,-1.41,-1.16,0.63
2020-07-15,600276,82.56,85.14,86.81,81.86,478900,4911463680.0,6.09,4.67,3.8,0.9
2020-07-16,600276,85.4,79.6,86.11,79.53,475574,4706824192.0,7.73,-6.51,-5.54,0.9
2020-07-17,600276,79.24,79.59,80.88,78.48,366632,3529785168.0,3.02,-0.01,-0.01,0.69
2020-07-20,600276,79.7,79.72,80.63,77.83,256361,2454392144.0,3.52,0.16,0.13,0.48
2020-07-21,600276,80.48,82.06,82.63,79.71,324189,3203921904.0,3.66,2.94,2.34,0.61
2020-07-22,600276,81.8,82.12,83.53,80.54,301276,3007068768.0,3.64,0.07,0.06,0.57
2020-07-23,600276,81.65,82.12,83.38,80.98,345556,3430336192.0,2.92,0.0,0.0,0.65
2020-07-24,600276,81.07,78.3,81.64,77.65,444160,4253626816.0,4.86,-4.65,-3.82,0.84
2020-07-27,600276,78.3,78.8,80.11,78.05,249829,2383712816.0,2.63,0.64,0.5,0.47
2020-07-28,600276,78.81,78.15,79.49,77.81,285202,2708493904.0,2.13,-0.82,-0.65,0.54
2020-07-29,600276,77.85,79.19,79.63,77.65,266037,2540596896.0,2.53,1.33,1.04,0.5
2020-07-30,600276,79.2,78.45,79.55,78.15,272996,2602558976.0,1.77,-0.93,-0.74,0.52
2020-07-31,600276,78.37,77.96,78.88,75.85,560034,5254218240.0,3.86,-0.62,-0.49,1.06
